reviewers,C,18531
interaction,H,2753
software engineering background,A,1631
RSE or similar role,A,2335
development process,A,3683
working software,A,6428
changing requirements,A,9954
agile process,A,9233
project manager,A,13005
split between projects,A,27468
hands-off PI,A,27951
PM role ambiguous,A,28966
inexperienced PM,A,30794
unstructured meetings,A,31355
partner involvement,A,34042
reference to proposal,A,35489
requirements specification,A,35758
software documentation,A,37278
not much involved with reporting,A,37567
transparency,A,39611
flexible work patterns,A,41601
cost of context change,A,42274
schedule interactions,A,43085
scheduling,A,44475
prestigious event,A,46988
secured futher funding,A,47303
low engagement from partners,A,48630
human resources,A,56392
more time,A,57555
inexperienced PM,A,58684
no feedback on deliverables,A,61230
not actively maintained,B,2633
small team,B,5585
ambiguous UX process,B,8742
PI absent,B,13403
founded on assumption,B,14710
hard to manage partners,B,13211
agile process,B,15718
disparate teams,B,17740
integration between partners,B,20012
not involved with reporting,B,23168
PI high-level goals,B,25282
face-to-face interactions,B,27075
disparate teams,B,28911
redoing work,B,31177
inspection,B,33267
communication,B,33960
accountability,B,34965
shared view of work,B,35331
collaboration less flexibility,B,37567
industry experience,B,39216
bad experience of agile,B,40187
unofficial PM,B,41358
less focus on quality,B,43457
software engineering background,C,516
EU more closely monitored,C,1114
partner engagement,C,2321
integration between partners ,C,3071
real world seen as ambitious,C,4378
specific expertise in teams,C,5195
not much involved with reporting,C,12753
not a product,C,14101
EU PO weird demands,C,17614
EU PO power limited to work plans,C,19936
not all engineers equal,C,21640
less focus on quality,C,23838
face-to-face interaction,C,26178
work package inflexible,C,28021
art to proposal writing,C,28820
different from UK funding,C,29132
alternative model EU provides PM,C,31353
dogmatic agile,C,34255
further funding for spin-off,C,39494
subsequent proposals refused,C,41913
no soft success metric,C,42892
not initially versed in UCD,C,46205
transparency,C,46848
partners doing own thing,C,48159
inexperienced post-docs,C,50343
manage expectations,C,52709
not a software engineer,E,304
writes code but not software,E,2052
team aren't engineers,E,3218
version control,E,4271
code hard to maintain,E,5840
paper economy,E,6594
science and code skills,E,6969
handover to industry,E,7056
software disappears,E,7435
research licenses,E,7762
"no UI, difficult to commercialise",E,9562
intellectual property,E,10143
SME engagement,E,11536
partner diverging interest,E,12879
enjoys working with other experts,E,17087
impact in maths needs software,E,20175
lone wolfs,E,22568
detailed planning,E,23401
no customer,E,26766
hates box ticking,E,29880
not trained as managers,E,30477
process undocumented,E,31106
organic scheduling,E,31659
delegation frustration,E,32308
copyright dispute,E,35363
learning is success,E,36344
not all PIs want to manage,E,38180
under resourcing,E,41754
no administrative support,E,43097
organic collaboration,E,48559
industry experience,F,406
motivated by science and collaboration,F,1271
avoids closed projects,F,1563
intellectual property,F,1856
open-source only,F,2134
stranded projects,F,7252
funding for maintenence hard,F,8878
mainenence grant too short term,F,9459
no structure to team interactions,F,18774
long-term roadmapping meetings,F,19117
non-hierarchical team structure,F,19358
no core office hours,F,20132
semi-frequent interactions,F,20710
PI involved at beginning,F,22103
PI not publishing,F,23074
github and kanban,F,26250
spirit of agile but not tools,F,27305
continuous integration,F,31650
RSE not culture of overwork,F,33365
not a secure job for life,F,34374
decisions made by individuals,F,39099
silos are bad,F,40455
under funded,F,45733
lacking leadership,F,55964
RSE background humanities,G,666
no industry experience,G,2421
roles not formally defined,G,6185
one PI left,G,10176
PI lacked power,G,14831
developers had a lot of power,G,15738
not all developers equal,G,15930
PI hands off,G,18480
no technical review of deliverables,G,19556
infrequent project meetings,G,23435
semi-frequent team meetings,G,23945
constant feedback,G,26023
absent PI,G,28084
stuck to WPs,G,28786
AHRC light on reporting,G,30510
no code quality checks,G,31458
user documentation,G,31896
private repositories,G,32918
bug tracking system,G,33467
